land;Artikel_id
qatar;5aVSozpD19mnQJjWAiKijr
ecuador;1sIq3fcb8PF2ImyauhV1fi
senegal ;7MVH8ga0N7ygaAnZigx1C0
netherlands ;5mtBUtL961mcbZmHSTYDD0
england ;4DmuP0Wn2hkYTvAmh4Moxj
iran;2hRi4qXasMWY7Qwyg8NEhM
USA ;3LiinYmpsxhzvLYyPq7na0
wales;Xbnbo9VrQcCpL7xmf3gal
argentina ;16Tpzwv1yIoJJBfJaUYIOS
saudi arabia ;3MUVGYZBuKrqRw8WUpaxO2
mexico ;7FDq2xEt7UBmH3dXq9G72d
poland ;2IJRcQOgllkEwZwZ5dNBgX
france;yhrLHyK0o6yemdSJrQEpX
australia;1IdvTQbXaCWcnA62eDBxba
denmark;1qK9IpYyvbH8k9K8LuDL0p
tunisia;18GvLxL7nVBCGsXuAolUZ5
spain;2QLb9LL9MBKYOivTzWGpgS
costa rica;7mlSBT0BMDiVfEmZ7ve76E
germany;7j584BjhUYbpEivOXrW89V
japan;5XoA1ST4XPzm8SrqGxn1uQ
belgium;fWWedrkUWnCM8XiQITy9V
canada;3bT7eO8zeBnUtIGx8EPEke
morocco;4GOrAhFMJUw1iwMUGQOClv
croatia;6HfAZEAAPDlvRiTZvoycoi
brazil;5pDZuWwTXfp3LCnxSUADB
serbia;6n0y0WmtLnIawEQH0d90LR
switzerland;2GigX5au9kwntzA43GNLps
cameroon;XN7Nc5CQVzjJGbDQjEHq8
portugal;7BaI6wzxRpu9elSnWzrfHv
ghana;6Bvn6HmP6yRMmDhYQXYFoP
uruguay;4p644cO1g1JVNP9B1qEA5g
south korea;yO4OkI3I7M5vQfTiQtdnx
